2024-09-02 11:15:24,096 - DEBUG - Initializing HTTP session.
2024-09-02 11:15:36,782 - INFO - DRIFTUSDT has been tested. win rate: 0.54, trade count: 50
2024-09-02 11:15:36,917 - INFO - DUSKUSDT has been tested. win rate: 0.5471698113207547, trade count: 53
2024-09-02 11:15:37,052 - INFO - DYDXUSDT has been tested. win rate: 0.36363636363636365, trade count: 11
2024-09-02 11:15:37,187 - INFO - DYMUSDT has been tested. win rate: 0.4230769230769231, trade count: 26
2024-09-02 11:15:37,324 - INFO - EDUUSDT has been tested. win rate: 0.4827586206896552, trade count: 29
2024-09-02 11:15:37,462 - INFO - ENAUSDT has been tested. win rate: 0.45, trade count: 20
2024-09-02 11:15:37,595 - INFO - ENJUSDT has been tested. win rate: 0.3, trade count: 10
2024-09-02 11:15:37,730 - INFO - EOSUSDT has been tested. win rate: 0.7142857142857143, trade count: 7
2024-09-02 11:15:37,866 - INFO - ETHBTCUSDT has been tested. win rate: 0.0, trade count: 1
2024-09-02 11:15:38,001 - INFO - ETHFIUSDT has been tested. win rate: 0.3684210526315789, trade count: 19
2024-09-02 11:15:38,139 - INFO - ETHUSDT has been tested. win rate: 0.5, trade count: 4
2024-09-02 11:15:38,271 - INFO - ETHWUSDT has been tested. win rate: 0.375, trade count: 8
2024-09-02 11:15:38,407 - INFO - FILUSDT has been tested. win rate: 0.8, trade count: 5
2024-09-02 11:15:38,540 - INFO - FIREUSDT has been tested. win rate: 0.52, trade count: 50
2024-09-02 11:15:38,675 - INFO - FLMUSDT has been tested. win rate: 0.42857142857142855, trade count: 14
2024-09-02 11:15:38,813 - INFO - FLOWUSDT has been tested. win rate: 0.6, trade count: 5
2024-09-02 11:15:38,943 - INFO - FLRUSDT has been tested. win rate: 0.5789473684210527, trade count: 19
2024-09-02 11:15:39,080 - INFO - FORTHUSDT has been tested. win rate: 0.5, trade count: 4
2024-09-02 11:15:39,215 - INFO - FRONTUSDT has been tested. win rate: 0.38461538461538464, trade count: 13
2024-09-02 11:15:39,345 - INFO - FTMUSDT has been tested. win rate: 0.5, trade count: 38
2024-09-02 11:15:39,480 - INFO - FTNUSDT has been tested. win rate: 0, trade count: 0
2024-09-02 11:15:39,612 - INFO - FXSUSDT has been tested. win rate: 0.5, trade count: 10
2024-09-02 11:15:39,744 - INFO - GALAUSDT has been tested. win rate: 0.5217391304347826, trade count: 23
2024-09-02 11:15:39,876 - INFO - GASUSDT has been tested. win rate: 0.42857142857142855, trade count: 7
2024-09-02 11:15:40,009 - INFO - GFTUSDT has been tested. win rate: 0.5930232558139535, trade count: 86
2024-09-02 11:15:40,143 - INFO - GLMRUSDT has been tested. win rate: 0.5294117647058824, trade count: 34
2024-09-02 11:15:40,275 - INFO - GLMUSDT has been tested. win rate: 0.3333333333333333, trade count: 6
2024-09-02 11:15:40,412 - INFO - GMTUSDT has been tested. win rate: 0.45454545454545453, trade count: 11
2024-09-02 11:15:40,543 - INFO - GODSUSDT has been tested. win rate: 0.6875, trade count: 16
2024-09-02 11:15:40,675 - INFO - GRTUSDT has been tested. win rate: 0.4, trade count: 10
2024-09-02 11:15:40,805 - INFO - GUSDT has been tested. win rate: 0.8, trade count: 10
2024-09-02 11:15:40,937 - INFO - HBARUSDT has been tested. win rate: 0.6, trade count: 5
2024-09-02 11:15:41,071 - INFO - HFTUSDT has been tested. win rate: 0.5833333333333334, trade count: 12
2024-09-02 11:15:41,203 - INFO - HIFIUSDT has been tested. win rate: 0.6666666666666666, trade count: 9
2024-09-02 11:15:41,337 - INFO - HIGHUSDT has been tested. win rate: 0.5, trade count: 12
2024-09-02 11:15:41,472 - INFO - HOOKUSDT has been tested. win rate: 0.375, trade count: 16
2024-09-02 11:15:41,608 - INFO - ICXUSDT has been tested. win rate: 0.5, trade count: 6
