index,Trade Count,Win Rate,Lowest Value,Profit Rate Peak,Final Profit Rate,Max Profit Rate Single Trade,Max Loss Rate Single Trade,Max Streak,Max Loss Streak,Max Draw Down,Profit Factor
26,48,0.3541666666666667,1027.4018648758752,1.0629195297707885,-0.8966426712812625,0.17781500093057878,-0.48076748439993255,4,11,0.9501967066553473,0.7004853033407883
27,43,0.3023255813953488,922.0161661822284,0.539812240735724,-0.9077983833817772,0.23788781224997768,-0.48076748439993255,2,12,0.940121519897667,0.637345602885697
28,91,0.43956043956043955,9485.455068174748,3.3874377617528566,0.36529955680325465,0.29423975090814736,-0.29327695560253697,5,8,0.6971217937066867,1.1409347756974981
29,65,0.4153846153846154,4908.410727128459,0.793473678880871,-0.5057722110871541,0.2968178493050475,-0.29327695560253697,4,7,0.7263182178290283,0.8638116672403794
30,43,0.3488372093023256,8198.121013366343,0.9809464202739611,-0.1577082413633658,0.23788781224997768,-0.26310526315789473,2,5,0.5861512997291185,0.9613192031835014
31,71,0.39436619718309857,9992.511582202,5.002894862359525,0.5592752281055657,0.36265620305070967,-0.29552499577298086,3,8,0.7673883411976687,1.1323995411969257
32,48,0.3333333333333333,5387.706231230463,1.0600604808602232,-0.45589807187695364,0.233531869499511,-0.26310526315789473,4,7,0.7384685410313435,0.8249638626240319
33,34,0.29411764705882354,1797.908038878854,0.719222944337875,-0.8202091961121146,0.23788781224997768,-0.48076748439993255,3,8,0.8954232175181165,0.6207991198399463
34,46,0.43478260869565216,7705.899832644334,1.5711604317597851,-0.2294100167355666,0.24882211752155747,-0.29327695560253697,3,11,0.7002948654055722,0.9509380981967176
35,50,0.42,6516.006412187994,1.356783872087897,0.04257744742037106,0.430879049276941,-0.29327695560253697,4,10,0.6558789592085902,1.0790848183469732
36,123,0.45528455284552843,9678.310145270238,5.8911125373852755,-0.005629068172976259,0.29423975090814736,-0.48076748439993255,6,8,0.8595537354416429,1.0543167717862545
37,39,0.358974358974359,1979.5023023904007,1.058591181121591,-0.80195693451471,0.24882211752155747,-0.48076748439993255,4,9,0.9038418934005197,0.7145458394660752
38,65,0.4,6896.964644098257,1.741501642589053,-0.06863621719272417,0.3066506220128131,-0.29327695560253697,3,8,0.7484238368872609,1.0235253770721289
39,58,0.39655172413793105,4164.339964005782,3.0477521305545032,-0.5546047382089218,0.24291497975708487,-0.48076748439993255,4,10,0.8971196894056033,0.9080839275790256
40,42,0.38095238095238093,3526.345669090651,0.7122541938253157,-0.6437282720909349,0.25332562174667417,-0.29327695560253697,3,6,0.7940524437430341,0.6680164987804817
41,48,0.5,3246.8950883024413,4.144545495870095,-0.6745295102888308,0.2071636011616651,-0.48076748439993255,8,7,0.936886648375275,0.8893266415760991
42,51,0.37254901960784315,3431.1959153816415,0.9766095420782148,-0.6474714511618358,0.4445197141061892,-0.29552499577298086,2,5,0.8264100297839264,0.7991152473181519
43,70,0.37142857142857144,4993.324145659452,2.1967852798496463,-0.4882279339993797,0.3531729663791061,-0.29327695560253697,5,8,0.843801703632272,0.8918067886508076
44,79,0.3670886075949367,7522.479051856684,4.017334726415169,-0.23059244693048142,0.3258979628690095,-0.48076748439993255,6,8,0.85007021731573,1.001779838154491
45,56,0.26785714285714285,719.3379659159481,0.22508402847259323,-0.9276376169772552,0.1960309777347531,-0.48076748439993255,2,12,0.9412825610980496,0.5388602747573707
46,49,0.3877551020408163,1240.5025253081212,1.0068960364148132,-0.8752124636380378,0.17781500093057878,-0.48076748439993255,3,10,0.9381880026269722,0.7293700656147675
47,60,0.38333333333333336,3461.8209287019727,0.9883947360771475,-0.6538179071298027,0.32994084899095344,-0.29552499577298086,3,6,0.8258987078425027,0.8102296211794806
48,43,0.37209302325581395,956.0843614522076,0.6558277113830966,-0.8837685418547793,0.233531869499511,-0.48076748439993255,3,9,0.9422594298380477,0.6644200794489573
49,38,0.42105263157894735,1635.32114571239,0.9084910983862391,-0.834323026146536,0.15635005336179275,-0.48076748439993255,4,9,0.914313399360617,0.6388266546730128
50,31,0.3548387096774194,49.431011396363395,0.35314449770788636,-0.9950568988603636,0.13389355742296916,-1.0,4,9,0.9963469524888069,0.3973122680619214
51,69,0.391304347826087,3661.8736455387634,1.6807978018316527,-0.6012520539525487,0.28230409963674097,-0.29327695560253697,4,9,0.8634035866846507,0.8730364506652857
52,69,0.43478260869565216,4442.093213518225,2.500467234805949,-0.5367483540519276,0.28230409963674097,-0.29552499577298086,6,9,0.8730999916425592,0.9166719169684334
53,28,0.35714285714285715,1557.6328779018677,0.7968849130391871,-0.8442367122098132,0.13148004147226544,-0.48076748439993255,2,9,0.9133148224130091,0.4691130334603177
54,0,0,9738.283845150445,0.03037976450414437,0.011183424507844375,0,0,0,0,0.05345419349330314,0
55,43,0.4883720930232558,9992.508174436749,1.6801785324224752,0.047580000127449784,0.2200195572939816,-0.22069798068481117,3,5,0.6101354038594539,1.0653065414470713
56,72,0.4027777777777778,8433.415358070699,2.2870318969536223,-0.1335299068929302,0.30028987044205246,-0.29327695560253697,4,6,0.7434337231139535,1.0096761419881686
57,43,0.4418604651162791,9992.50645105,0.9375509263702966,0.565253255104545,0.35483587853256116,-0.26310526315789473,4,6,0.4172844603716163,1.1932481400383634
58,78,0.4358974358974359,9992.511582202,6.283492011163104,1.7524543407911004,0.3682426436659214,-0.29327695560253697,6,7,0.6872791835823612,1.3234221893209333
59,41,0.4878048780487805,8494.705420227432,1.2791663992504936,0.1378794801017431,0.21454633909024579,-0.29552499577298086,3,4,0.6272889323473299,1.0997903131265454
60,35,0.34285714285714286,1271.468538007045,1.488811655855332,-0.8725297671992955,0.2652139890447238,-0.48076748439993255,6,15,0.9489126252275576,0.7108274371609796
61,50,0.44,4203.717344785502,3.7737873657447505,-0.5796282655214497,0.2652139890447238,-0.48076748439993255,5,9,0.9119416718274864,0.9150864042562223
62,65,0.3230769230769231,3155.3304074454577,0.7743850925865998,-0.6153834932245292,0.2263027295285358,-0.29327695560253697,4,7,0.8221733027047814,0.7903725811989915
63,42,0.4523809523809524,5186.300221679721,2.4548363938854467,-0.422263186837178,0.4912000000000001,-0.29327695560253697,6,7,0.8498828994953651,0.890353241551958
64,39,0.46153846153846156,3006.9020416051458,3.6107941616732653,-0.6993097958394854,0.17697026899480894,-0.48076748439993255,7,11,0.934785593627239,0.8221668108107453
65,38,0.23684210526315788,556.4393451097354,0.13744870383322505,-0.9443560654890265,0.13607257203842038,-0.48076748439993255,2,11,0.951080049303804,0.3772995498628881
66,44,0.4090909090909091,1648.454549559591,0.9289586617752095,-0.8319925928356159,0.18658658658658656,-0.48076748439993255,4,9,0.9145417378699796,0.6740284769007273
67,74,0.5135135135135135,9289.48388622225,6.665575700698104,0.3738203563168998,0.29423975090814736,-0.29327695560253697,6,9,0.8276273830474251,1.1047032048627266
68,39,0.358974358974359,895.6595646799643,0.4523204746504972,-0.9102051645320036,0.17781500093057878,-0.48076748439993255,4,9,0.9383290685276948,0.5403065674218586
69,43,0.3953488372093023,5635.780541831145,0.6634978036204491,-0.4349813668168856,0.2200195572939816,-0.26310526315789473,2,7,0.6612090181564779,0.840442899318599
70,52,0.40384615384615385,2736.1469929063546,2.3961515469801364,-0.7221492249761896,0.17781500093057878,-0.48076748439993255,4,10,0.9194338958360283,0.8307652290498396
71,27,0.3333333333333333,5106.416632294226,0.9856666616271745,-0.4631625217705774,0.29144884241971614,-0.284975,3,5,0.7428361602188697,0.7686185719753188
72,49,0.3673469387755102,3192.4829828922366,1.1261166166736754,-0.6807517017107764,0.26883686905632764,-0.29552499577298086,2,6,0.8498444084460945,0.7984180325017743
